,,globalP,globalP,globalP,packetP,packetP,packetP,sessionP,sessionP,sessionP,transactionP,transactionP,transactionP
,subscriber_count_Connected,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_globalP_smf,total_allocated_memory_globalP_smf,chunk_create_count_minus_destroy_count_cm_globalP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_packetP_smf,total_allocated_memory_packetP_smf,chunk_create_count_minus_destroy_count_cm_packetP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_sessionP_smf,total_allocated_memory_sessionP_smf,chunk_create_count_minus_destroy_count_cm_sessionP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_transactionP_smf,total_allocated_memory_transactionP_smf,chunk_create_count_minus_destroy_count_cm_transactionP_smf
timestamp,,,,,,,,,,,,,
2024-07-24 09:31:45,196,8,511.998046875,39,693,512.0,599,8,511.998046875,5366,3,512.0,5
2024-07-24 09:31:46,197,8,511.998046875,39,696,512.0,602,8,511.998046875,5393,3,512.0,5
2024-07-24 09:31:47,198,8,511.998046875,39,700,512.0,605,8,511.998046875,5420,3,512.0,5
2024-07-24 09:31:48,199,8,511.998046875,39,703,512.0,608,8,511.998046875,5447,3,512.0,5
2024-07-24 09:31:49,200,8,511.998046875,39,707,512.0,611,8,511.998046875,5474,3,512.0,5
2024-07-24 09:31:50,201,8,511.998046875,39,710,512.0,614,8,511.998046875,5501,3,512.0,5
2024-07-24 09:31:51,202,8,511.998046875,39,714,512.0,617,8,511.998046875,5528,3,512.0,5
2024-07-24 09:31:52,203,8,511.998046875,39,717,512.0,620,8,511.998046875,5555,3,512.0,5
2024-07-24 09:31:53,204,8,511.998046875,39,721,512.0,623,8,511.998046875,5582,3,512.0,5
2024-07-24 09:31:54,205,8,511.998046875,39,724,512.0,626,8,511.998046875,5609,3,512.0,5
2024-07-24 09:31:55,206,8,511.998046875,39,728,512.0,629,8,511.998046875,5636,3,512.0,5
2024-07-24 09:31:56,207,8,511.998046875,39,731,512.0,632,8,511.998046875,5663,3,512.0,5
2024-07-24 09:31:57,208,8,511.998046875,39,735,512.0,635,8,511.998046875,5690,3,512.0,5
2024-07-24 09:31:58,209,8,511.998046875,39,738,512.0,638,8,511.998046875,5717,3,512.0,5
2024-07-24 09:31:59,210,8,511.998046875,39,742,512.0,641,8,511.998046875,5744,3,512.0,5
2024-07-24 09:32:00,211,8,511.998046875,39,745,512.0,644,8,511.998046875,5771,3,512.0,5
2024-07-24 09:32:01,212,8,511.998046875,39,749,512.0,647,8,511.998046875,5798,3,512.0,5
